Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,150,Cereal,Online,M,7/21/2017,2131,8/22/2017,5802,205.7,117.11,5998,5682,6742
Sub-Saharan Africa,57,Vegetables,Online,L,7/10/2013,6466,7/26/2013,861,154.06,90.93,1512,1518,1675
Asia,154,Office Supplies,Offline,M,10/6/2012,5517,10/21/2012,5959,651.21,524.96,8756,8825,8085
Sub-Saharan Africa,62,Meat,Online,C,6/4/2011,9500,7/24/2011,3603,421.89,364.69,6789,7374,3961
Europe,153,Fruits,Offline,L,4/12/2014,4585,4/15/2014,8327,9.33,6.92,1069,1176,961
Europe,104,Personal Care,Online,M,10/26/2015,7459,12/15/2015,1699,81.73,56.67,1553,1703,1461
Central America and the Caribbean,42,Cereal,Online,L,8/4/2011,869,8/27/2011,7318,205.7,117.11,6749,6386,7645
Europe,92,Personal Care,Online,L,2/24/2017,8126,4/14/2017,5814,81.73,56.67,3477,3982,3186
Middle East and North Africa,82,Office Supplies,Offline,L,3/30/2011,8492,4/12/2011,9848,651.21,524.96,9558,9584,9153
Central America and the Caribbean,135,Fruits,Online,C,5/2/2015,1994,6/14/2015,9112,9.33,6.92,1166,1309,1064
Europe,55,Vegetables,Offline,H,2/1/2014,4227,2/26/2014,5330,154.06,90.93,4881,4813,5186
Europe,18,Cosmetics,Offline,H,3/3/2012,1760,4/10/2012,7257,437.2,263.33,8355,8021,9189
Europe,67,Snacks,Online,H,4/22/2015,6929,5/13/2015,5678,152.58,97.44,5015,5175,5002
Sub-Saharan Africa,102,Personal Care,Online,M,5/12/2011,2827,5/15/2011,8412,81.73,56.67,4343,4776,4018
Sub-Saharan Africa,95,Office Supplies,Online,C,12/21/2011,8260,1/18/2012,5307,651.21,524.96,8528,8668,7736
Sub-Saharan Africa,143,Meat,Online,C,12/2/2010,3049,12/25/2010,3243,421.89,364.69,6424,7188,3708
Europe,107,Personal Care,Online,L,8/14/2010,2510,9/16/2010,1130,81.73,56.67,1276,1326,1210
Europe,56,Household,Online,L,10/5/2010,2795,11/14/2010,4912,668.27,502.54,8422,8460,8300
Europe,48,Meat,Offline,H,2/8/2012,6003,3/18/2012,2562,421.89,364.69,5688,6652,3201
Europe,142,Clothes,Online,M,9/8/2012,4920,9/20/2012,9084,109.28,35.84,5404,3941,7726
Sub-Saharan Africa,94,Baby Food,Offline,C,8/11/2011,7969,8/19/2011,1516,255.28,159.42,2960,3144,3177
Sub-Saharan Africa,16,Beverages,Offline,H,10/28/2012,4751,11/7/2012,3924,47.45,31.79,1831,1994,1796
Europe,66,Clothes,Online,M,10/11/2013,94,10/27/2013,2407,109.28,35.84,2263,1588,3606
Central America and the Caribbean,35,Cosmetics,Online,L,10/6/2016,86,10/20/2016,95,437.2,263.33,559,514,790
Sub-Saharan Africa,141,Fruits,Offline,H,7/28/2017,6364,7/31/2017,2148,9.33,6.92,283,314,240
Middle East and North Africa,2,Vegetables,Online,M,11/4/2016,1378,11/25/2016,761,154.06,90.93,1418,1438,1555
Europe,18,Personal Care,Online,M,4/12/2016,3403,5/1/2016,155,81.73,56.67,179,190,185
Central America and the Caribbean,5,Baby Food,Online,H,11/13/2014,1447,12/20/2014,1586,255.28,159.42,3078,3259,3286
Asia,24,Personal Care,Online,H,8/26/2012,337,9/22/2012,8340,81.73,56.67,4318,4752,3996
Middle East and North Africa,121,Vegetables,Online,C,7/15/2014,5634,8/15/2014,735,154.06,90.93,1400,1391,1529
North America,177,Baby Food,Offline,L,5/2/2011,8701,5/4/2011,1118,255.28,159.42,2391,2531,2550
Sub-Saharan Africa,101,Office Supplies,Offline,L,11/11/2013,1794,12/17/2013,8871,651.21,524.96,9412,9459,8968
Sub-Saharan Africa,28,Cosmetics,Offline,H,4/14/2011,2736,5/20/2011,5403,437.2,263.33,7828,7518,8659
Europe,1,Baby Food,Online,H,10/4/2012,254,11/21/2012,9158,255.28,159.42,7798,7571,8508
Europe,158,Vegetables,Online,M,5/14/2013,8873,6/10/2013,609,154.06,90.93,1297,1130,1388
Sub-Saharan Africa,57,Household,Online,M,1/12/2013,3901,2/2/2013,7261,668.27,502.54,9166,9128,9092
Europe,8,Vegetables,Online,H,10/3/2012,6362,11/12/2012,8650,154.06,90.93,6338,6103,7021
Sub-Saharan Africa,38,Household,Offline,L,10/23/2010,8047,11/20/2010,1344,668.27,502.54,5098,5660,4149
Central America and the Caribbean,42,Clothes,Online,L,2/6/2014,6742,3/28/2014,3941,109.28,35.84,3230,2153,4797
Sub-Saharan Africa,102,Baby Food,Offline,H,9/4/2011,657,9/4/2011,2070,255.28,159.42,3693,3988,3868
Middle East and North Africa,89,Cosmetics,Offline,C,5/12/2016,4065,6/26/2016,3394,437.2,263.33,6688,6526,7317
Australia and Oceania,137,Office Supplies,Online,M,7/19/2015,1937,8/20/2015,2605,651.21,524.96,7048,7439,5133
Middle East and North Africa,82,Personal Care,Online,H,10/28/2012,5001,11/24/2012,6425,81.73,56.67,3681,4219,3410
Europe,66,Meat,Online,C,8/25/2016,4817,9/25/2016,8611,421.89,364.69,8625,8833,6560
Sub-Saharan Africa,141,Beverages,Offline,C,10/25/2013,8552,11/3/2013,4947,47.45,31.79,2110,2335,2066
Europe,104,Personal Care,Offline,H,2/11/2011,4611,2/26/2011,8252,81.73,56.67,4288,4732,3970
Sub-Saharan Africa,47,Beverages,Offline,M,5/27/2016,6558,6/13/2016,3375,47.45,31.79,1690,1825,1653
Sub-Saharan Africa,117,Personal Care,Online,C,2/6/2012,9150,2/26/2012,2194,81.73,56.67,1785,1989,1687
Central America and the Caribbean,135,Snacks,Online,C,12/25/2011,2854,2/4/2012,8622,152.58,97.44,6301,6304,6414
Europe,157,Vegetables,Offline,H,12/13/2011,8834,1/20/2012,3600,154.06,90.93,3793,3957,4206
Central America and the Caribbean,75,Baby Food,Online,H,7/20/2016,4195,8/19/2016,102,255.28,159.42,360,333,450
Central America and the Caribbean,64,Vegetables,Offline,H,6/18/2012,6590,7/14/2012,8134,154.06,90.93,6134,5911,6737
Australia and Oceania,137,Cosmetics,Online,H,2/23/2010,9566,4/12/2010,9730,437.2,263.33,8985,8545,9577
Central America and the Caribbean,42,Snacks,Online,M,5/5/2017,7562,5/9/2017,3960,152.58,97.44,4013,4334,4111
Middle East and North Africa,169,Cereal,Online,L,7/23/2012,710,8/13/2012,1920,205.7,117.11,3019,2978,3526
Asia,160,Beverages,Online,L,1/11/2017,9809,1/17/2017,1742,47.45,31.79,1130,1131,1196
Middle East and North Africa,169,Cereal,Online,H,3/7/2015,1634,4/14/2015,3585,205.7,117.11,4553,4493,5049
Asia,154,Office Supplies,Offline,C,6/9/2011,3596,7/5/2011,4644,651.21,524.96,8270,8433,7296
Asia,69,Office Supplies,Offline,L,4/17/2011,8932,6/5/2011,4141,651.21,524.96,8086,8229,6808
Sub-Saharan Africa,49,Clothes,Online,M,7/7/2017,1755,7/27/2017,8330,109.28,35.84,5137,3737,7431
Sub-Saharan Africa,156,Snacks,Offline,L,3/22/2011,1793,4/9/2011,5500,152.58,97.44,4927,5086,4916
Europe,128,Fruits,Offline,L,3/29/2016,9634,4/6/2016,965,9.33,6.92,117,136,105
Europe,66,Cereal,Online,M,1/14/2012,1727,2/4/2012,2077,205.7,117.11,3210,3154,3696
Sub-Saharan Africa,184,Beverages,Online,M,3/17/2013,5173,4/10/2013,3213,47.45,31.79,1634,1775,1607
Europe,6,Personal Care,Online,H,9/15/2012,2874,11/2/2012,785,81.73,56.67,885,925,942
Asia,119,Meat,Online,L,11/26/2015,8538,12/6/2015,8237,421.89,364.69,8542,8767,6374
Sub-Saharan Africa,22,Meat,Offline,L,2/1/2014,1833,3/20/2014,1040,421.89,364.69,3279,4297,1757
Asia,68,Personal Care,Offline,L,12/23/2010,2844,1/18/2011,1701,81.73,56.67,1554,1705,1463
Sub-Saharan Africa,139,Household,Online,C,5/10/2011,7669,6/12/2011,4755,668.27,502.54,8360,8398,8213
Europe,6,Meat,Offline,C,4/12/2017,3227,5/22/2017,1770,421.89,364.69,4588,5537,2451
Europe,55,Clothes,Online,C,9/23/2016,2101,10/25/2016,6344,109.28,35.84,4364,3009,6325
Europe,142,Cosmetics,Offline,M,2/8/2010,7607,3/14/2010,9108,437.2,263.33,8807,8403,9491
Australia and Oceania,172,Cosmetics,Offline,C,1/10/2014,9085,2/11/2014,2722,437.2,263.33,5983,5819,6398
Central America and the Caribbean,12,Vegetables,Online,L,2/3/2012,6386,2/6/2012,6878,154.06,90.93,5612,5462,6045
Sub-Saharan Africa,98,Cereal,Offline,L,9/6/2011,5324,10/11/2011,3301,205.7,117.11,4309,4340,4821
Sub-Saharan Africa,28,Household,Online,M,6/18/2017,2367,6/23/2017,746,668.27,502.54,3572,4270,2824
Asia,154,Vegetables,Offline,H,6/10/2012,9828,6/13/2012,9997,154.06,90.93,6845,6591,7563
Europe,18,Vegetables,Offline,C,10/10/2014,855,10/19/2014,8874,154.06,90.93,6423,6178,7135
Europe,114,Household,Offline,M,5/19/2013,4325,6/2/2013,7224,668.27,502.54,9160,9117,9085
Asia,84,Office Supplies,Online,C,3/9/2017,9769,4/27/2017,1927,651.21,524.96,6137,6843,4396
Central America and the Caribbean,65,Office Supplies,Online,L,6/18/2013,2770,6/23/2013,1895,651.21,524.96,6086,6809,4342
Sub-Saharan Africa,183,Household,Online,M,1/16/2017,9465,2/1/2017,3069,668.27,502.54,7535,7682,6687
Sub-Saharan Africa,19,Snacks,Offline,L,7/18/2013,1879,8/15/2013,3424,152.58,97.44,3672,4018,3749
Asia,17,Household,Online,C,2/23/2016,2760,3/15/2016,7964,668.27,502.54,9294,9242,9248
Sub-Saharan Africa,184,Household,Offline,M,5/17/2016,697,7/1/2016,3726,668.27,502.54,7953,7993,7477
Sub-Saharan Africa,87,Personal Care,Offline,L,8/14/2010,5027,9/15/2010,4776,81.73,56.67,2989,3453,2748
Sub-Saharan Africa,166,Household,Offline,H,6/18/2011,844,7/20/2011,7214,668.27,502.54,9159,9114,9082
Australia and Oceania,7,Meat,Online,M,8/17/2013,4113,9/17/2013,4170,421.89,364.69,7118,7657,4328
Europe,92,Fruits,Offline,L,11/26/2012,6420,12/25/2012,804,9.33,6.92,96,107,85
Europe,48,Fruits,Offline,H,7/4/2017,327,7/17/2017,9308,9.33,6.92,1199,1339,1089
Europe,176,Meat,Online,H,12/29/2013,4043,2/3/2014,3908,421.89,364.69,6976,7523,4160
Middle East and North Africa,108,Vegetables,Online,H,6/29/2016,6614,8/4/2016,5856,154.06,90.93,5112,5061,5478
Europe,176,Office Supplies,Offline,M,6/24/2017,2772,7/10/2017,8440,651.21,524.96,9342,9394,8882
Australia and Oceania,125,Beverages,Online,H,4/13/2014,8151,5/2/2014,1978,47.45,31.79,1298,1301,1262
Australia and Oceania,115,Personal Care,Offline,M,11/10/2012,4263,12/27/2012,8816,81.73,56.67,4478,4880,4132
Europe,8,Cosmetics,Offline,L,6/17/2016,3040,7/31/2016,8336,437.2,263.33,8634,8247,9378
Central America and the Caribbean,134,Vegetables,Online,M,3/31/2014,2576,4/15/2014,1949,154.06,90.93,2476,2518,2816
Asia,110,Snacks,Online,C,5/17/2015,1466,5/22/2015,8097,152.58,97.44,6089,6112,6152
Central America and the Caribbean,61,Baby Food,Online,M,12/4/2014,4321,12/27/2014,7253,255.28,159.42,7234,7132,7841
Central America and the Caribbean,5,Vegetables,Offline,C,10/28/2012,6308,11/9/2012,6922,154.06,90.93,5633,5476,6071
Middle East and North Africa,70,Vegetables,Online,C,1/26/2010,8504,2/28/2010,6641,154.06,90.93,5495,5366,5910
Asia,145,Cosmetics,Online,H,7/4/2012,2921,8/6/2012,2978,437.2,263.33,6270,6095,6774
Sub-Saharan Africa,155,Baby Food,Offline,M,11/26/2011,6991,12/17/2011,4529,255.28,159.42,5898,5843,6044
Europe,93,Cereal,Online,M,6/10/2012,9164,7/29/2012,6927,205.7,117.11,6546,6187,7447
North America,26,Office Supplies,Offline,C,10/24/2011,3642,11/20/2011,7831,651.21,524.96,9230,9273,8744
Europe,99,Cereal,Online,C,7/16/2012,5422,7/22/2012,1934,205.7,117.11,3043,2997,3538
Middle East and North Africa,71,Snacks,Online,M,8/28/2010,5164,8/28/2010,5959,152.58,97.44,5132,5288,5131
Europe,8,Personal Care,Offline,C,8/10/2014,4474,8/22/2014,3662,81.73,56.67,2467,2809,2282
Asia,163,Cereal,Online,M,3/10/2011,608,3/16/2011,829,205.7,117.11,1747,1712,1987
Europe,114,Beverages,Online,M,10/6/2014,1680,11/11/2014,277,47.45,31.79,185,191,203
Sub-Saharan Africa,184,Clothes,Online,M,6/23/2010,1589,7/11/2010,6854,109.28,35.84,4595,3176,6640
Central America and the Caribbean,15,Cereal,Offline,L,1/13/2011,4969,1/22/2011,2441,205.7,117.11,3588,3622,4080
Europe,55,Vegetables,Offline,L,1/23/2015,2243,2/19/2015,949,154.06,90.93,1597,1589,1769
Central America and the Caribbean,41,Beverages,Online,L,11/24/2010,4636,12/22/2010,3319,47.45,31.79,1671,1805,1635
Europe,146,Beverages,Online,L,8/27/2010,9095,9/28/2010,2527,47.45,31.79,1432,1543,1410
Sub-Saharan Africa,16,Snacks,Online,M,2/28/2016,3502,4/17/2016,8576,152.58,97.44,6290,6289,6394
Central America and the Caribbean,75,Meat,Online,H,2/25/2015,1329,4/15/2015,3503,421.89,364.69,6672,7326,3900
Middle East and North Africa,159,Cosmetics,Offline,L,5/17/2015,6970,6/27/2015,6374,437.2,263.33,8142,7824,8950
Europe,21,Personal Care,Offline,C,6/24/2010,540,6/24/2010,8290,81.73,56.67,4304,4738,3981
Australia and Oceania,167,Beverages,Offline,C,2/16/2014,2886,3/26/2014,7379,47.45,31.79,2739,3081,2675
Europe,52,Clothes,Online,L,9/30/2010,747,10/27/2010,3803,109.28,35.84,3144,2101,4717
Sub-Saharan Africa,111,Beverages,Online,H,5/3/2012,1604,6/5/2012,4754,47.45,31.79,2052,2265,2013
Sub-Saharan Africa,79,Baby Food,Offline,H,10/24/2016,8586,11/23/2016,9456,255.28,159.42,7870,7636,8578
Australia and Oceania,80,Household,Offline,C,10/21/2011,5931,11/24/2011,4163,668.27,502.54,8138,8166,7817
Australia and Oceania,7,Fruits,Online,M,4/13/2016,3287,5/5/2016,7163,9.33,6.92,924,1028,825
Sub-Saharan Africa,47,Office Supplies,Online,L,3/23/2016,1269,4/2/2016,3771,651.21,524.96,7911,8076,6421
Europe,21,Fruits,Offline,L,10/20/2013,6296,11/18/2013,1337,9.33,6.92,177,201,150
Australia and Oceania,7,Fruits,Offline,C,1/18/2016,5491,3/4/2016,4241,9.33,6.92,528,599,476
Sub-Saharan Africa,165,Office Supplies,Online,H,11/27/2015,1770,1/7/2016,8894,651.21,524.96,9416,9462,8970
Europe,85,Beverages,Online,C,3/7/2011,8831,4/9/2011,8738,47.45,31.79,3138,3534,3055
Europe,21,Clothes,Online,M,11/18/2015,6285,11/24/2015,9246,109.28,35.84,5466,4000,7772
Europe,53,Beverages,Offline,L,1/2/2011,4333,2/2/2011,2925,47.45,31.79,1552,1669,1522
Middle East and North Africa,175,Fruits,Offline,M,6/23/2016,8955,8/2/2016,4309,9.33,6.92,531,605,479
Middle East and North Africa,82,Personal Care,Online,C,8/23/2011,7121,8/30/2011,4966,81.73,56.67,3087,3570,2838
Middle East and North Africa,70,Personal Care,Offline,M,10/7/2014,1410,10/25/2014,8496,81.73,56.67,4369,4796,4046
Central America and the Caribbean,75,Beverages,Online,M,2/10/2011,5249,3/29/2011,5527,47.45,31.79,2258,2502,2207
Sub-Saharan Africa,133,Cereal,Offline,M,4/14/2017,7705,5/13/2017,8721,205.7,117.11,7162,6857,8159
North America,177,Household,Online,C,11/23/2016,8897,1/4/2017,7770,668.27,502.54,9254,9212,9216
Europe,36,Beverages,Offline,M,4/27/2017,4549,5/20/2017,4398,47.45,31.79,1955,2131,1921
Middle East and North Africa,0,Vegetables,Online,C,8/28/2015,1061,8/29/2015,7360,154.06,90.93,5843,5625,6309
Sub-Saharan Africa,173,Cereal,Online,M,1/19/2010,865,2/3/2010,7442,205.7,117.11,6821,6442,7695
Sub-Saharan Africa,141,Vegetables,Offline,C,2/2/2011,7024,3/18/2011,2461,154.06,90.93,2902,2969,3336
Middle East and North Africa,0,Cosmetics,Online,C,4/7/2015,8333,5/7/2015,2266,437.2,263.33,5398,5349,5696
Europe,48,Personal Care,Offline,M,5/10/2016,4671,5/12/2016,3736,81.73,56.67,2513,2850,2316
Sub-Saharan Africa,141,Meat,Online,C,10/12/2016,1173,10/17/2016,5784,421.89,364.69,7898,8178,5151
Europe,180,Beverages,Offline,L,3/24/2016,4286,4/14/2016,4351,47.45,31.79,1939,2115,1907
Asia,84,Vegetables,Online,L,6/16/2015,5843,7/31/2015,7411,154.06,90.93,5866,5650,6342
Central America and the Caribbean,42,Clothes,Offline,C,7/3/2012,8713,7/11/2012,9969,109.28,35.84,5723,4187,8019
Asia,113,Personal Care,Online,M,1/17/2014,1504,1/26/2014,9061,81.73,56.67,4562,4964,4200
Australia and Oceania,123,Meat,Offline,M,6/16/2016,3449,7/18/2016,8754,421.89,364.69,8649,8859,6619
Europe,142,Snacks,Online,C,3/10/2017,9700,4/5/2017,5147,152.58,97.44,4738,4891,4753
Europe,36,Cereal,Offline,H,12/17/2010,6195,1/12/2011,1370,205.7,117.11,2370,2354,2778
Asia,69,Meat,Online,L,4/13/2016,4647,5/16/2016,2584,421.89,364.69,5725,6671,3223
Central America and the Caribbean,41,Vegetables,Online,H,1/26/2011,7371,3/1/2011,981,154.06,90.93,1625,1627,1805
Sub-Saharan Africa,95,Clothes,Offline,M,3/6/2012,2783,4/6/2012,785,109.28,35.84,1175,566,1729
Australia and Oceania,43,Snacks,Offline,L,1/7/2011,9818,1/20/2011,3252,152.58,97.44,3556,3887,3636
Asia,106,Office Supplies,Offline,C,3/17/2015,3337,4/21/2015,1666,651.21,524.96,5711,6452,4011
Sub-Saharan Africa,79,Clothes,Offline,C,7/2/2014,8866,8/6/2014,6346,109.28,35.84,4366,3010,6326
Europe,104,Vegetables,Offline,M,11/11/2014,7846,11/30/2014,9639,154.06,90.93,6693,6458,7415
Sub-Saharan Africa,109,Cereal,Offline,H,12/18/2011,2461,1/17/2012,927,205.7,117.11,1851,1837,2136
Central America and the Caribbean,134,Household,Online,H,2/10/2010,521,3/5/2010,1620,668.27,502.54,5698,6200,4632
Australia and Oceania,125,Snacks,Online,C,11/22/2010,781,1/4/2011,160,152.58,97.44,339,326,410
Sub-Saharan Africa,62,Snacks,Offline,L,12/15/2016,7776,1/31/2017,7021,152.58,97.44,5652,5697,5629
Europe,91,Fruits,Online,L,2/1/2013,6834,3/4/2013,9708,9.33,6.92,1255,1401,1131
Asia,161,Meat,Offline,H,6/6/2015,8876,6/10/2015,7758,421.89,364.69,8419,8686,6136
Central America and the Caribbean,5,Snacks,Online,L,9/5/2014,5869,9/19/2014,7736,152.58,97.44,5955,5966,5970
Middle East and North Africa,140,Office Supplies,Online,L,3/5/2010,5417,3/27/2010,8243,651.21,524.96,9307,9357,8833
Asia,110,Meat,Online,H,9/6/2013,5805,10/2/2013,4908,421.89,364.69,7552,7914,4726
Australia and Oceania,7,Baby Food,Online,H,4/22/2015,1356,5/30/2015,5392,255.28,159.42,6442,6391,6767
Australia and Oceania,80,Baby Food,Offline,C,1/3/2010,6985,1/12/2010,4387,255.28,159.42,5802,5754,5923
Middle East and North Africa,122,Vegetables,Offline,C,7/13/2016,3432,7/16/2016,8618,154.06,90.93,6328,6092,6999
Europe,1,Beverages,Online,C,1/13/2013,2261,2/4/2013,1839,47.45,31.79,1209,1202,1224
Europe,120,Office Supplies,Online,M,8/9/2016,692,9/9/2016,9836,651.21,524.96,9555,9582,9150
Europe,180,Meat,Offline,H,4/26/2011,6912,5/30/2011,5426,421.89,364.69,7754,8075,4976
Middle East and North Africa,2,Snacks,Online,C,8/6/2012,4786,9/23/2012,3458,152.58,97.44,3689,4040,3765
Europe,66,Snacks,Online,C,6/10/2010,8828,7/7/2010,5813,152.58,97.44,5072,5236,5077
Asia,161,Baby Food,Offline,L,1/16/2011,9682,2/27/2011,6401,255.28,159.42,6958,6854,7446
Sub-Saharan Africa,40,Household,Offline,M,4/26/2010,8392,6/12/2010,6164,668.27,502.54,8901,8811,8804
Europe,93,Cereal,Offline,H,10/20/2012,2158,11/2/2012,8076,205.7,117.11,6996,6689,7939
Sub-Saharan Africa,87,Meat,Online,C,10/2/2012,8473,11/21/2012,2143,421.89,364.69,5121,6080,2807
Europe,39,Beverages,Offline,C,1/21/2013,1180,2/17/2013,400,47.45,31.79,268,265,294
Australia and Oceania,112,Personal Care,Online,H,11/16/2013,4485,11/21/2013,1914,81.73,56.67,1660,1835,1553
Europe,104,Vegetables,Offline,M,6/11/2016,8380,6/19/2016,7785,154.06,90.93,6016,5791,6553
Australia and Oceania,7,Cereal,Online,M,9/13/2011,4079,10/30/2011,6142,205.7,117.11,6156,5828,7002
Europe,147,Meat,Offline,H,5/12/2014,7954,6/26/2014,7146,421.89,364.69,8263,8582,5827
Central America and the Caribbean,61,Personal Care,Online,C,9/16/2013,7678,10/3/2013,7989,81.73,56.67,4216,4661,3898
Central America and the Caribbean,42,Clothes,Online,C,3/28/2015,6457,5/7/2015,7896,109.28,35.84,5004,3589,7264
Middle East and North Africa,73,Clothes,Online,C,2/19/2014,8197,3/17/2014,3121,109.28,35.84,2692,1872,4231
Asia,20,Beverages,Online,L,4/1/2014,2917,4/5/2014,1950,47.45,31.79,1278,1282,1253
Asia,110,Snacks,Online,H,9/5/2016,1037,10/16/2016,9701,152.58,97.44,6678,6686,6922
